time,envcfg:com.sleepycat.je.util.ConsoleHandler.level,envcfg:com.sleepycat.je.util.FileHandler.level,envcfg:je.adler32.chunkSize,envcfg:je.backup.copyClass,envcfg:je.backup.copyConfig,envcfg:je.backup.locationClass,envcfg:je.backup.locationConfig,envcfg:je.backup.schedule,envcfg:je.checkpointer.bytesInterval,envcfg:je.checkpointer.deadlockRetry,envcfg:je.checkpointer.highPriority,envcfg:je.checkpointer.wakeupInterval,envcfg:je.cleaner.adjustUtilization,envcfg:je.cleaner.backgroundProactiveMigration,envcfg:je.cleaner.bytesInterval,envcfg:je.cleaner.calc.initialAdjustments,envcfg:je.cleaner.calc.maxProbeSkipFiles,envcfg:je.cleaner.calc.minProbeSkipFiles,envcfg:je.cleaner.calc.minUncountedLNs,envcfg:je.cleaner.cluster,envcfg:je.cleaner.clusterAll,envcfg:je.cleaner.deadlockRetry,envcfg:je.cleaner.detailMaxMemoryPercentage,envcfg:je.cleaner.expunge,envcfg:je.cleaner.extinctScanBatchDelay,envcfg:je.cleaner.extinctScanBatchSize,envcfg:je.cleaner.fetchObsoleteSize,envcfg:je.cleaner.flushExtinctObsolete,envcfg:je.cleaner.forceCleanFiles,envcfg:je.cleaner.foregroundProactiveMigration,envcfg:je.cleaner.gradualExpiration,envcfg:je.cleaner.lazyMigration,envcfg:je.cleaner.lockTimeout,envcfg:je.cleaner.lookAheadCacheSize,envcfg:je.cleaner.maxBatchFiles,envcfg:je.cleaner.minAge,envcfg:je.cleaner.minFileUtilization,envcfg:je.cleaner.minFilesToDelete,envcfg:je.cleaner.minUtilization,envcfg:je.cleaner.readSize,envcfg:je.cleaner.restartRetries,envcfg:je.cleaner.retries,envcfg:je.cleaner.rmwFix,envcfg:je.cleaner.threads,envcfg:je.cleaner.trackDetail,envcfg:je.cleaner.twoPassGap,envcfg:je.cleaner.twoPassThreshold,envcfg:je.cleaner.upgradeToLogVersion,envcfg:je.cleaner.useDeletedDir,envcfg:je.cleaner.wakeupInterval,envcfg:je.compressor.deadlockRetry,envcfg:je.compressor.lockTimeout,envcfg:je.compressor.wakeupInterval,envcfg:je.deferredWrite.temp,envcfg:je.env.autoReservedFileRepair,envcfg:je.env.backgroundReadLimit,envcfg:je.env.backgroundSleepInterval,envcfg:je.env.backgroundWriteLimit,envcfg:je.env.checkLeaks,envcfg:je.env.comparatorsRequired,envcfg:je.env.dbCacheClearCount,envcfg:je.env.dbCacheTimeout,envcfg:je.env.dbEviction,envcfg:je.env.diskOrderedScanLockTimeout,envcfg:je.env.dupConvertPreloadAll,envcfg:je.env.expirationEnabled,envcfg:je.env.exposeUserData,envcfg:je.env.fairLatches,envcfg:je.env.forcedYield,envcfg:je.env.isLocking,envcfg:je.env.isReadOnly,envcfg:je.env.isTransactional,envcfg:je.env.latchTimeout,envcfg:je.env.logTrace,envcfg:je.env.recovery,envcfg:je.env.recoveryForceCheckpoint,envcfg:je.env.recoveryForceNewFile,envcfg:je.env.runBackup,envcfg:je.env.runCheckpointer,envcfg:je.env.runCleaner,envcfg:je.env.runEraser,envcfg:je.env.runEvictor,envcfg:je.env.runExtinctRecordScanner,envcfg:je.env.runINCompressor,envcfg:je.env.runOffHeapEvictor,envcfg:je.env.runVerifier,envcfg:je.env.setupLogger,envcfg:je.env.sharedLatches,envcfg:je.env.startupThreshold,envcfg:je.env.terminateTimeout,envcfg:je.env.ttlClockTolerance,envcfg:je.env.ttlLnPurgeDelay,envcfg:je.env.ttlMaxTxnTime,envcfg:je.env.verifyBtree,envcfg:je.env.verifyBtreeBatchDelay,envcfg:je.env.verifyBtreeBatchSize,envcfg:je.env.verifyDataRecords,envcfg:je.env.verifyLog,envcfg:je.env.verifyLogReadDelay,envcfg:je.env.verifyMaxTardiness,envcfg:je.env.verifyObsoleteRecords,envcfg:je.env.verifySchedule,envcfg:je.env.verifySecondaries,envcfg:je.erase.abortTimeout,envcfg:je.erase.deletedDatabases,envcfg:je.erase.extinctRecords,envcfg:je.erase.period,envcfg:je.evictor.allowBinDeltas,envcfg:je.evictor.coreThreads,envcfg:je.evictor.criticalPercentage,envcfg:je.evictor.deadlockRetry,envcfg:je.evictor.evictBytes,envcfg:je.evictor.evictionBatchPercentage,envcfg:je.evictor.forcedYield,envcfg:je.evictor.keepAlive,envcfg:je.evictor.lruOnly,envcfg:je.evictor.maxThreads,envcfg:je.evictor.mutateBins,envcfg:je.evictor.nLRULists,envcfg:je.evictor.nodeScanPercentage,envcfg:je.evictor.nodesPerScan,envcfg:je.evictor.useDirtyLRU,envcfg:je.evictor.useMemoryFloor,envcfg:je.evictor.wakeupInterval,envcfg:je.file.logging.directory,envcfg:je.file.logging.prefix,envcfg:je.freeDisk,envcfg:je.haltOnCommitAfterChecksumException,envcfg:je.lock.deadlockDetect,envcfg:je.lock.deadlockDetectDelay,envcfg:je.lock.nLockTables,envcfg:je.lock.oldLockExceptions,envcfg:je.lock.timeout,envcfg:je.log.bufferSize,envcfg:je.log.checksumRead,envcfg:je.log.chunkedNIO,envcfg:je.log.detectFileDelete,envcfg:je.log.detectFileDeleteInterval,envcfg:je.log.directNIO,envcfg:je.log.faultReadSize,envcfg:je.log.fileCacheSize,envcfg:je.log.fileMax,envcfg:je.log.fileWarmUpReadSize,envcfg:je.log.fileWarmUpSize,envcfg:je.log.flushNoSyncInterval,envcfg:je.log.flushSyncInterval,envcfg:je.log.fsyncTimeLimit,envcfg:je.log.fsyncTimeout,envcfg:je.log.groupCommitInterval,envcfg:je.log.groupCommitThreshold,envcfg:je.log.iteratorMaxSize,envcfg:je.log.iteratorReadSize,envcfg:je.log.memOnly,envcfg:je.log.nDataDirectories,envcfg:je.log.numBuffers,envcfg:je.log.totalBufferBytes,envcfg:je.log.useNIO,envcfg:je.log.useODSYNC,envcfg:je.log.useWriteQueue,envcfg:je.log.verifyChecksums,envcfg:je.log.writeQueueSize,envcfg:je.maxDisk,envcfg:je.maxMemory,envcfg:je.maxMemoryPercent,envcfg:je.maxOffHeapMemory,envcfg:je.nodeDupTreeMaxEntries,envcfg:je.nodeMaxEntries,envcfg:je.offHeap.checksum,envcfg:je.offHeap.coreThreads,envcfg:je.offHeap.evictBytes,envcfg:je.offHeap.keepAlive,envcfg:je.offHeap.maxThreads,envcfg:je.rep.logFlushTaskInterval,envcfg:je.rep.runLogFlushTask,envcfg:je.reservedDisk,envcfg:je.sharedCache,envcfg:je.stats.collect,envcfg:je.stats.collect.interval,envcfg:je.stats.file.directory,envcfg:je.stats.file.row.count,envcfg:je.stats.max.files,envcfg:je.tree.binDelta,envcfg:je.tree.binDeltaBlindOps,envcfg:je.tree.binDeltaBlindPuts,envcfg:je.tree.compactMaxKeyLength,envcfg:je.tree.maxDelta,envcfg:je.tree.maxEmbeddedLN,envcfg:je.tree.minMemory,envcfg:je.txn.deadlockStackTrace,envcfg:je.txn.dumpLocks,envcfg:je.txn.durability,envcfg:je.txn.serializableIsolation,envcfg:je.txn.timeout,java:args,java:maxMemory,java:minMemory,java:vendor,java:version,je:version,mc:arch,mc:processors,os:name,os:version
2020-07-27 11:16:53.691 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=54628:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-27 11:36:07.678 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=54724:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-27 11:37:09.134 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=54766:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-27 12:09:25.078 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=50006:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-27 12:25:33.056 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=52279:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-27 12:49:22.163 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=52491:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-28 06:41:38.031 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=62487:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-28 08:52:17.218 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=53950:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-28 09:43:42.735 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=65499:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-28 10:50:44.489 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=49412:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-28 12:58:09.591 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=59847:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
2020-07-29 08:19:34.176 UTC,"OFF","INFO","0","com.sleepycat.je.BackupFSArchiveCopy","","com.sleepycat.je.BackupFileLocation","/tmp/snapshots","0 0 * * *","20000000","3","false","0","false","false","0","5","20","5","1000","false","false","3","2","true","2 ms","10000","false","1073741824","","false","true","false","500 ms","8192","0","2","5","5","50","0","5","10","true","1","true","10","0","0","false","10 s","3","500 ms","5 s","false","off","0","1 ms","0","true","false","1000","300 ms","true","10 seconds","true","true","false","false","false","true","false","true","5 min","true","true","false","false","false","true","true","false","true","true","true","true","true","false","true","5 min","10 s","2 h","5 s","24 h","true","10 ms","1000","false","true","100 ms","5 min","false","0 0 * * *","true","30 s","true","true","0","true","1","0","3","524288","10","false","10 min","true","10","true","4","10","10","true","95","5 s","","","5368709120","false","true","0","1","false","120000 MILLISECONDS","1048576","true","0","true","1000 ms","false","2048","100","10000000","10485760","0","5 s","20 s","5 s","500 ms","0 ns","0","16777216","8192","false","0","3","0","false","false","true","false","1048576","0","0","60","0","128","128","false","1","52428800","10 min","3","5 min","true","0","false","true","1 min","","1440","10","25","true","true","42","10","16","512000","false","false","null","false","30000 MILLISECONDS"," -Ddebug -XX:TieredStopAtLevel=1 -Xverify:none -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\lib\idea_rt.jar=64603:C:\Program Files\JetBrains\IntelliJ IDEA 2019.2.4\bin -Dfile.encoding=UTF-8","4265607168","268435456","JetBrains s.r.o","11.0.4","18.3.12","amd64","8","Windows 10","10.0"
